"","Quarter","Gender","Age (bands and single year)","National - Regional - LA - OAs","Duration of Claim","Client type","value"
"403","Aug-15","Male","25-29","E00024278","Up to 3 months","Children",0
"404","Nov-15","Male","25-29","E00024278","Up to 3 months","Children",0
"405","Feb-16","Male","25-29","E00024278","Up to 3 months","Children",0
"406","May-16","Male","25-29","E00024278","Up to 3 months","Children",0
"407","Aug-16","Male","25-29","E00024278","Up to 3 months","Children",0
"408","Nov-16","Male","25-29","E00024278","Up to 3 months","Children",0
"409","Feb-17","Male","25-29","E00024278","Up to 3 months","Children",0
"410","May-17","Male","25-29","E00024278","Up to 3 months","Children",0
"411","Aug-17","Male","25-29","E00024278","Up to 3 months","Children",0
"412","Nov-17","Male","25-29","E00024278","Up to 3 months","Children",0
"413","Feb-18","Male","25-29","E00024278","Up to 3 months","Children",0
"414","Aug-03","Female","25-29","E00024278","Up to 3 months","Children",0
"415","Nov-03","Female","25-29","E00024278","Up to 3 months","Children",0
"416","Feb-04","Female","25-29","E00024278","Up to 3 months","Children",0
"417","May-04","Female","25-29","E00024278","Up to 3 months","Children",0
"418","Aug-04","Female","25-29","E00024278","Up to 3 months","Children",0
"419","Nov-04","Female","25-29","E00024278","Up to 3 months","Children",0
"420","Feb-05","Female","25-29","E00024278","Up to 3 months","Children",0
"421","May-05","Female","25-29","E00024278","Up to 3 months","Children",0
"422","Aug-05","Female","25-29","E00024278","Up to 3 months","Children",0
"423","Nov-05","Female","25-29","E00024278","Up to 3 months","Children",0
"424","Feb-06","Female","25-29","E00024278","Up to 3 months","Children",0
"425","May-06","Female","25-29","E00024278","Up to 3 months","Children",0
"426","Aug-06","Female","25-29","E00024278","Up to 3 months","Children",0
"427","Nov-06","Female","25-29","E00024278","Up to 3 months","Children",0
"428","Feb-07","Female","25-29","E00024278","Up to 3 months","Children",0
"429","May-07","Female","25-29","E00024278","Up to 3 months","Children",0
"430","Aug-07","Female","25-29","E00024278","Up to 3 months","Children",0
"431","Nov-07","Female","25-29","E00024278","Up to 3 months","Children",0
"432","Feb-08","Female","25-29","E00024278","Up to 3 months","Children",0
"433","May-08","Female","25-29","E00024278","Up to 3 months","Children",0
"434","Aug-08","Female","25-29","E00024278","Up to 3 months","Children",0
"435","Nov-08","Female","25-29","E00024278","Up to 3 months","Children",0
"436","Feb-09","Female","25-29","E00024278","Up to 3 months","Children",0
"437","May-09","Female","25-29","E00024278","Up to 3 months","Children",0
"438","Aug-09","Female","25-29","E00024278","Up to 3 months","Children",0
"439","Nov-09","Female","25-29","E00024278","Up to 3 months","Children",0
"440","Feb-10","Female","25-29","E00024278","Up to 3 months","Children",0
"441","May-10","Female","25-29","E00024278","Up to 3 months","Children",0
"442","Aug-10","Female","25-29","E00024278","Up to 3 months","Children",0
"443","Nov-10","Female","25-29","E00024278","Up to 3 months","Children",0
"444","Feb-11","Female","25-29","E00024278","Up to 3 months","Children",0
"445","May-11","Female","25-29","E00024278","Up to 3 months","Children",0
"446","Aug-11","Female","25-29","E00024278","Up to 3 months","Children",0
"447","Nov-11","Female","25-29","E00024278","Up to 3 months","Children",0
"448","Feb-12","Female","25-29","E00024278","Up to 3 months","Children",0
"449","May-12","Female","25-29","E00024278","Up to 3 months","Children",0
"450","Aug-12","Female","25-29","E00024278","Up to 3 months","Children",0
"451","Nov-12","Female","25-29","E00024278","Up to 3 months","Children",0
"452","Feb-13","Female","25-29","E00024278","Up to 3 months","Children",0
"453","May-13","Female","25-29","E00024278","Up to 3 months","Children",0
"454","Aug-13","Female","25-29","E00024278","Up to 3 months","Children",0
"455","Nov-13","Female","25-29","E00024278","Up to 3 months","Children",0
"456","Feb-14","Female","25-29","E00024278","Up to 3 months","Children",0
"457","May-14","Female","25-29","E00024278","Up to 3 months","Children",0
"458","Aug-14","Female","25-29","E00024278","Up to 3 months","Children",0
"459","Nov-14","Female","25-29","E00024278","Up to 3 months","Children",0
"460","Feb-15","Female","25-29","E00024278","Up to 3 months","Children",0
"461","May-15","Female","25-29","E00024278","Up to 3 months","Children",0
"462","Aug-15","Female","25-29","E00024278","Up to 3 months","Children",0
"463","Nov-15","Female","25-29","E00024278","Up to 3 months","Children",0
"464","Feb-16","Female","25-29","E00024278","Up to 3 months","Children",0
"465","May-16","Female","25-29","E00024278","Up to 3 months","Children",0
"466","Aug-16","Female","25-29","E00024278","Up to 3 months","Children",0
"467","Nov-16","Female","25-29","E00024278","Up to 3 months","Children",0
"468","Feb-17","Female","25-29","E00024278","Up to 3 months","Children",0
"469","May-17","Female","25-29","E00024278","Up to 3 months","Children",0
"470","Aug-17","Female","25-29","E00024278","Up to 3 months","Children",0
"471","Nov-17","Female","25-29","E00024278","Up to 3 months","Children",0
"472","Feb-18","Female","25-29","E00024278","Up to 3 months","Children",0
"473","Aug-03","Unknown","25-29","E00024278","Up to 3 months","Children",0
"474","Nov-03","Unknown","25-29","E00024278","Up to 3 months","Children",0
"475","Feb-04","Unknown","25-29","E00024278","Up to 3 months","Children",0
"476","May-04","Unknown","25-29","E00024278","Up to 3 months","Children",0
"477","Aug-04","Unknown","25-29","E00024278","Up to 3 months","Children",0
"478","Nov-04","Unknown","25-29","E00024278","Up to 3 months","Children",0
"479","Feb-05","Unknown","25-29","E00024278","Up to 3 months","Children",0
"480","May-05","Unknown","25-29","E00024278","Up to 3 months","Children",0
"481","Aug-05","Unknown","25-29","E00024278","Up to 3 months","Children",0
"482","Nov-05","Unknown","25-29","E00024278","Up to 3 months","Children",0
"483","Feb-06","Unknown","25-29","E00024278","Up to 3 months","Children",0
"484","May-06","Unknown","25-29","E00024278","Up to 3 months","Children",0
"485","Aug-06","Unknown","25-29","E00024278","Up to 3 months","Children",0
"486","Nov-06","Unknown","25-29","E00024278","Up to 3 months","Children",0
"487","Feb-07","Unknown","25-29","E00024278","Up to 3 months","Children",0
"488","May-07","Unknown","25-29","E00024278","Up to 3 months","Children",0
"489","Aug-07","Unknown","25-29","E00024278","Up to 3 months","Children",0
"490","Nov-07","Unknown","25-29","E00024278","Up to 3 months","Children",0
"491","Feb-08","Unknown","25-29","E00024278","Up to 3 months","Children",0
"492","May-08","Unknown","25-29","E00024278","Up to 3 months","Children",0
"493","Aug-08","Unknown","25-29","E00024278","Up to 3 months","Children",0
"494","Nov-08","Unknown","25-29","E00024278","Up to 3 months","Children",0
"495","Feb-09","Unknown","25-29","E00024278","Up to 3 months","Children",0
"496","May-09","Unknown","25-29","E00024278","Up to 3 months","Children",0
"497","Aug-09","Unknown","25-29","E00024278","Up to 3 months","Children",0
"498","Nov-09","Unknown","25-29","E00024278","Up to 3 months","Children",0
"499","Feb-10","Unknown","25-29","E00024278","Up to 3 months","Children",0
"500","May-10","Unknown","25-29","E00024278","Up to 3 months","Children",0
"501","Aug-10","Unknown","25-29","E00024278","Up to 3 months","Children",0
"502","Nov-10","Unknown","25-29","E00024278","Up to 3 months","Children",0
"503","Feb-11","Unknown","25-29","E00024278","Up to 3 months","Children",0
"504","May-11","Unknown","25-29","E00024278","Up to 3 months","Children",0
"505","Aug-11","Unknown","25-29","E00024278","Up to 3 months","Children",0
"506","Nov-11","Unknown","25-29","E00024278","Up to 3 months","Children",0
"507","Feb-12","Unknown","25-29","E00024278","Up to 3 months","Children",0
"508","May-12","Unknown","25-29","E00024278","Up to 3 months","Children",0
"509","Aug-12","Unknown","25-29","E00024278","Up to 3 months","Children",0
"510","Nov-12","Unknown","25-29","E00024278","Up to 3 months","Children",0
"511","Feb-13","Unknown","25-29","E00024278","Up to 3 months","Children",0
"512","May-13","Unknown","25-29","E00024278","Up to 3 months","Children",0
"513","Aug-13","Unknown","25-29","E00024278","Up to 3 months","Children",0
"514","Nov-13","Unknown","25-29","E00024278","Up to 3 months","Children",0
"515","Feb-14","Unknown","25-29","E00024278","Up to 3 months","Children",0
"516","May-14","Unknown","25-29","E00024278","Up to 3 months","Children",0
"517","Aug-14","Unknown","25-29","E00024278","Up to 3 months","Children",0
"518","Nov-14","Unknown","25-29","E00024278","Up to 3 months","Children",0
"519","Feb-15","Unknown","25-29","E00024278","Up to 3 months","Children",0
"520","May-15","Unknown","25-29","E00024278","Up to 3 months","Children",0
"521","Aug-15","Unknown","25-29","E00024278","Up to 3 months","Children",0
"522","Nov-15","Unknown","25-29","E00024278","Up to 3 months","Children",0
"523","Feb-16","Unknown","25-29","E00024278","Up to 3 months","Children",0
"524","May-16","Unknown","25-29","E00024278","Up to 3 months","Children",0
"525","Aug-16","Unknown","25-29","E00024278","Up to 3 months","Children",0
"526","Nov-16","Unknown","25-29","E00024278","Up to 3 months","Children",0
"527","Feb-17","Unknown","25-29","E00024278","Up to 3 months","Children",0
"528","May-17","Unknown","25-29","E00024278","Up to 3 months","Children",0
"529","Aug-17","Unknown","25-29","E00024278","Up to 3 months","Children",0
"530","Nov-17","Unknown","25-29","E00024278","Up to 3 months","Children",0
"531","Feb-18","Unknown","25-29","E00024278","Up to 3 months","Children",0
"532","Aug-03","Male","30-34","E00024278","Up to 3 months","Children",0
"533","Nov-03","Male","30-34","E00024278","Up to 3 months","Children",0
"534","Feb-04","Male","30-34","E00024278","Up to 3 months","Children",0
"535","May-04","Male","30-34","E00024278","Up to 3 months","Children",0
"536","Aug-04","Male","30-34","E00024278","Up to 3 months","Children",0
"537","Nov-04","Male","30-34","E00024278","Up to 3 months","Children",0
"538","Feb-05","Male","30-34","E00024278","Up to 3 months","Children",0
"539","May-05","Male","30-34","E00024278","Up to 3 months","Children",0
"540","Aug-05","Male","30-34","E00024278","Up to 3 months","Children",0
"541","Nov-05","Male","30-34","E00024278","Up to 3 months","Children",0
"542","Feb-06","Male","30-34","E00024278","Up to 3 months","Children",0
"543","May-06","Male","30-34","E00024278","Up to 3 months","Children",0
"544","Aug-06","Male","30-34","E00024278","Up to 3 months","Children",0
"545","Nov-06","Male","30-34","E00024278","Up to 3 months","Children",0
"546","Feb-07","Male","30-34","E00024278","Up to 3 months","Children",0
"547","May-07","Male","30-34","E00024278","Up to 3 months","Children",0
"548","Aug-07","Male","30-34","E00024278","Up to 3 months","Children",0
"549","Nov-07","Male","30-34","E00024278","Up to 3 months","Children",0
"550","Feb-08","Male","30-34","E00024278","Up to 3 months","Children",0
"551","May-08","Male","30-34","E00024278","Up to 3 months","Children",0
"552","Aug-08","Male","30-34","E00024278","Up to 3 months","Children",0
"553","Nov-08","Male","30-34","E00024278","Up to 3 months","Children",0
"554","Feb-09","Male","30-34","E00024278","Up to 3 months","Children",0
"555","May-09","Male","30-34","E00024278","Up to 3 months","Children",0
"556","Aug-09","Male","30-34","E00024278","Up to 3 months","Children",0
"557","Nov-09","Male","30-34","E00024278","Up to 3 months","Children",0
"558","Feb-10","Male","30-34","E00024278","Up to 3 months","Children",0
"559","May-10","Male","30-34","E00024278","Up to 3 months","Children",0
"560","Aug-10","Male","30-34","E00024278","Up to 3 months","Children",0
"561","Nov-10","Male","30-34","E00024278","Up to 3 months","Children",0
"562","Feb-11","Male","30-34","E00024278","Up to 3 months","Children",0
"563","May-11","Male","30-34","E00024278","Up to 3 months","Children",0
"564","Aug-11","Male","30-34","E00024278","Up to 3 months","Children",0
"565","Nov-11","Male","30-34","E00024278","Up to 3 months","Children",0
"566","Feb-12","Male","30-34","E00024278","Up to 3 months","Children",0
"567","May-12","Male","30-34","E00024278","Up to 3 months","Children",0
"568","Aug-12","Male","30-34","E00024278","Up to 3 months","Children",0
"569","Nov-12","Male","30-34","E00024278","Up to 3 months","Children",0
"570","Feb-13","Male","30-34","E00024278","Up to 3 months","Children",0
"571","May-13","Male","30-34","E00024278","Up to 3 months","Children",0
"572","Aug-13","Male","30-34","E00024278","Up to 3 months","Children",0
"573","Nov-13","Male","30-34","E00024278","Up to 3 months","Children",0
"574","Feb-14","Male","30-34","E00024278","Up to 3 months","Children",0
"575","May-14","Male","30-34","E00024278","Up to 3 months","Children",0
"576","Aug-14","Male","30-34","E00024278","Up to 3 months","Children",0
"577","Nov-14","Male","30-34","E00024278","Up to 3 months","Children",0
"578","Feb-15","Male","30-34","E00024278","Up to 3 months","Children",0
"579","May-15","Male","30-34","E00024278","Up to 3 months","Children",0
"580","Aug-15","Male","30-34","E00024278","Up to 3 months","Children",0
"581","Nov-15","Male","30-34","E00024278","Up to 3 months","Children",0
"582","Feb-16","Male","30-34","E00024278","Up to 3 months","Children",0
"583","May-16","Male","30-34","E00024278","Up to 3 months","Children",0
"584","Aug-16","Male","30-34","E00024278","Up to 3 months","Children",0
"585","Nov-16","Male","30-34","E00024278","Up to 3 months","Children",0
"586","Feb-17","Male","30-34","E00024278","Up to 3 months","Children",0
"587","May-17","Male","30-34","E00024278","Up to 3 months","Children",0
"588","Aug-17","Male","30-34","E00024278","Up to 3 months","Children",0
"589","Nov-17","Male","30-34","E00024278","Up to 3 months","Children",0
"590","Feb-18","Male","30-34","E00024278","Up to 3 months","Children",0
"591","Aug-03","Female","30-34","E00024278","Up to 3 months","Children",0
"592","Nov-03","Female","30-34","E00024278","Up to 3 months","Children",0
"593","Feb-04","Female","30-34","E00024278","Up to 3 months","Children",0
"594","May-04","Female","30-34","E00024278","Up to 3 months","Children",0
"595","Aug-04","Female","30-34","E00024278","Up to 3 months","Children",0
"596","Nov-04","Female","30-34","E00024278","Up to 3 months","Children",0
"597","Feb-05","Female","30-34","E00024278","Up to 3 months","Children",0
"598","May-05","Female","30-34","E00024278","Up to 3 months","Children",0
"599","Aug-05","Female","30-34","E00024278","Up to 3 months","Children",0
"600","Nov-05","Female","30-34","E00024278","Up to 3 months","Children",0
"601","Feb-06","Female","30-34","E00024278","Up to 3 months","Children",0
"602","May-06","Female","30-34","E00024278","Up to 3 months","Children",0
"603","Aug-06","Female","30-34","E00024278","Up to 3 months","Children",0
"604","Nov-06","Female","30-34","E00024278","Up to 3 months","Children",0
"605","Feb-07","Female","30-34","E00024278","Up to 3 months","Children",0
